Name,CR,Size,HP,AC,Base Speed,Fly Speed,Burrow Speed,Swim Speed,Climb Speed,Number of Skills,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Saving Throw Bonus,Passive Perception,"Truesight (0 if none, else range in ft.)","Darkvision (0 if none, else range in ft.)","Blindsight (0 if none, else range in ft.)","Tremorsense (0 if none, else range in ft.)",Number Of Passive Abilities,Number of Actions,Max. Attack Bonus,Max. Damage Roll,Spellcasting,Number of Spells Known,Max. Spell Level,Spell Save DC,Spoken Languages,"Telepathy (0 if none, else range in ft.)",Number of Legendary Actions,Number of Legendary Saves,Weaknesses,Damage Immunities,Number of Immunities,Resistances,Number of Resistances,Condition Immunities
Swarm of Insects,3,Medium,22,12,20,0,0,0,20,0,3,13,10,1,7,1,None,0,8,0,0,10,0,1,1,3,16,No,0,0,0,None,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Swarm of Poisonous Snakes,5,Medium,36,14,30,0,0,30,0,0,8,18,11,1,10,3,None,0,10,0,0,10,0,1,1,6,12,No,0,0,0,None,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Swarm of Quippers,4,Medium,28,13,0,0,0,40,0,0,13,16,9,1,7,2,None,0,8,0,60,0,0,3,1,5,24,No,0,0,0,None,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Swarm of Rats,2,Medium,24,10,30,0,0,0,0,0,9,11,9,2,10,3,None,0,10,0,30,0,0,2,1,2,12,No,0,0,0,None,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Swarm of Ravens,2,Medium,24,12,10,50,0,0,0,1,6,14,8,3,12,6,None,0,15,0,0,0,0,1,1,4,12,No,0,0,0,None,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Tiger,4,Large,37,12,40,0,0,0,0,2,17,15,14,3,12,8,None,0,13,9,69,9,9,2,2,5,13,No,0,0,0,None,0,0,0,None,,0,,0,None
Vulture,0,Medium,5,10,10,50,0,0,0,1,7,10,13,2,12,4,None,0,13,0,0,0,0,2,1,2,4,No,0,0,0,None,0,0,0,None,,0,,0,None
Warhorse,3,Large,19,11,60,0,0,0,0,0,18,12,13,2,12,7,None,0,11,0,0,0,0,1,1,4,16,No,0,0,0,None,0,0,0,None,,0,,0,None
Weasel,0,Tiny,1,13,30,0,0,0,0,2,3,16,8,2,12,3,None,0,13,0,0,0,0,1,1,5,1,No,0,0,0,None,0,0,0,None,,0,,0,None
Winter Wolf,6,Large,75,13,50,0,0,0,0,2,18,13,14,7,12,8,None,0,15,0,0,0,0,3,2,6,16,No,0,0,0,"Common, Giant, Winter Wolf",0,0,0,None,Cold,1,,0,None
Wolf,2,Medium,11,13,30,0,0,0,0,2,12,15,12,3,12,6,None,0,13,0,0,0,0,2,1,4,10,No,0,0,0,None,0,0,0,None,,0,,0,None
Worg,3,Large,26,13,50,0,0,0,0,1,16,13,13,7,11,8,None,0,14,0,60,0,0,1,1,5,15,No,0,0,0,"Goblin, Worg",0,0,0,None,,0,,0,None
Acolyte,2,Medium,9,10,30,0,0,0,0,2,10,10,10,10,14,11,None,0,10,0,0,0,0,1,2,2,4,Yes,6,1,12,Common,0,0,0,None,,0,,0,None
Bandit,1,Medium,11,12,30,0,0,0,0,0,11,12,12,10,10,10,None,0,10,0,0,0,0,0,2,3,9,No,0,0,0,Common,0,0,0,None,,0,,0,None
Bandit Captain,5,Medium,65,15,30,0,0,0,0,2,15,16,14,14,11,14,"Str, Dex, Wis",0,10,0,0,0,0,0,3,5,9,No,0,0,0,"Common, Dwarvish",0,0,0,None,,0,,0,None
Beserker,5,Medium,67,13,30,0,0,0,0,0,16,12,17,9,11,9,None,0,10,0,0,0,0,1,1,5,15,No,0,0,0,Common,0,0,0,None,,0,,0,None
Commoner,0,Medium,4,10,30,0,0,0,0,0,10,10,10,10,10,10,None,0,10,0,0,0,0,0,1,2,4,No,0,0,0,Common,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Cultist,1,Medium,9,12,30,0,0,0,0,2,11,12,10,10,11,10,None,0,10,0,0,0,0,1,1,3,7,No,0,0,0,Common,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Cult Fanatic,5,Medium,33,13,30,0,0,0,0,3,11,14,12,10,13,14,None,0,10,0,0,0,0,2,2,4,6,Yes,8,2,11,Common,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Druid,5,Medium,27,11,30,0,0,0,0,3,10,12,13,12,15,11,None,0,14,0,0,0,0,1,1,2,8,Yes,9,2,12,"Druidic, Common, Elvish",0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Gladiator,8,Medium,112,16,30,0,0,0,0,2,18,15,16,10,12,15,"Str, Dex, Con",3,11,0,0,0,0,2,3,8,20,No,0,0,0,Common,0,0,0,None,,0,,0,None
Guard,1,Medium,11,16,30,0,0,0,0,1,13,12,12,10,11,10,None,0,12,0,0,0,0,0,1,3,7,No,0,0,0,Common,0,0,0,None,,0,,0,None
Knight,6,Medium,52,18,30,0,0,0,0,0,16,11,14,11,11,15,"Con, Wis",0,10,0,0,0,0,1,4,5,15,No,0,0,0,Common,0,0,0,None,,0,,0,None
Mage,9,Medium,40,12,30,0,0,0,0,2,9,14,11,17,12,11,"Int, Wis",3,11,0,0,0,0,1,1,5,6,Yes,16,5,14,"Common, Dwarvish, Elvish, Giant",0,0,0,None,,0,,0,None
Noble,1,Medium,9,15,30,0,0,0,0,3,11,12,11,12,14,16,None,0,10,0,0,0,0,0,1,3,9,No,0,0,0,"Common, Dwarvish",0,0,0,None,Cold,1,,0,None
Priest,5,Medium,27,13,25,0,0,0,0,3,10,10,12,13,16,13,None,0,13,0,0,0,0,2,1,2,6,Yes,10,3,13,"Common, Dwarvish",0,0,0,None,,0,,0,None
Scout,3,Medium,16,13,30,0,0,0,0,4,11,14,12,11,13,11,None,0,15,0,0,0,0,1,3,4,10,No,0,0,0,Common,0,0,0,None,,0,,0,None
Spy,4,Medium,27,12,30,0,0,0,0,7,10,15,10,12,14,16,None,0,16,0,0,0,0,2,3,4,8,No,0,0,0,"Common, Dwarvish",0,0,0,None,,0,,0,None
Thug,3,Medium,32,11,30,0,0,0,0,1,15,11,14,10,10,11,None,0,10,0,0,0,0,1,3,4,10,No,0,0,0,Common,0,0,0,None,,0,,0,None
Tribal Warrior,1,Medium,11,12,30,0,0,0,0,0,13,11,12,8,11,8,None,0,10,0,0,0,0,1,1,3,9,No,0,0,0,Common,0,0,0,None,,0,,0,None
Veteran,6,Medium,58,17,30,0,0,0,0,2,16,13,14,10,11,10,None,0,12,0,0,0,0,0,4,5,13,No,0,0,0,Common,0,0,0,None,,0,,0,None
Bronze Scout,4,Medium,18,13,30,0,30,0,0,2,10,16,11,3,14,1,None,0,16,0,60,0,0,2,2,5,13,No,0,0,0,None,0,0,0,None,"Poison, BPS From Nonmagical Attacks Not Adamantine",2,,0,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned"
Corpse Flower,11,Large,127,12,20,0,0,0,20,0,14,14,16,7,15,3,None,0,12,0,0,120,0,3,3,5,14,No,0,0,0,None,0,0,0,None,,0,,0,"Blinded, Deafened"
Alkilith,14,Medium,157,17,40,0,0,0,0,1,12,19,22,6,11,7,"Dex, Con",4,10,0,120,0,0,4,2,8,30,No,0,0,0,None,0,0,0,None,Poison,1,"Acid, Cold, Fire, Lightning, BPS From Nonmagical Attacks",5,"Charmed, Frightened, Poisoned"
Armanite,10,Large,84,16,60,0,0,0,0,0,21,18,21,8,12,13,None,0,11,0,120,0,0,2,5,8,25,No,0,0,0,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning",3,Poisoned
Bulezau,6,Medium,52,14,40,0,0,0,0,0,15,14,17,8,9,6,None,0,9,0,120,0,0,3,1,4,14,No,0,0,0,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning",3,"Charmed, Frightened, Poisoned"
Dybbuk,7,Medium,37,14,0,40,0,0,0,3,6,19,16,16,15,14,None,0,14,0,120,0,0,4,2,6,20,Yes,3,3,12,"Abyssal, Common",120,0,0,None,Poison,1,"Acid, Cold, Fire, Lightning, Thunder, BPS From Nonmagical Attacks",6,"Charmed, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained"
Maurezhi,10,Medium,88,15,30,0,0,0,0,1,14,17,12,11,12,15,None,0,11,0,120,0,0,2,4,6,23,No,0,0,0,"Abyssal, Elvish",120,0,0,None,Poison,1,"Cold, Fire, Lightning, Necrotic, BPS From Nonmagical Attacks",5,"Charmed, Exhaustion, Poisoned"
Molydeus,24,Huge,216,19,40,0,0,0,0,1,28,22,25,21,24,24,"Str, Con, Wis, Cha",7,31,120,0,0,0,4,4,16,29,Yes,6,9,22,Abyssal,120,3,3,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,"Blinded, Charmed, Deafened, Frightened, Poisoned, Stunned"
Nabassu,18,Medium,190,18,40,60,0,0,0,1,22,14,21,14,15,17,"Str, Dex",5,17,0,60,0,0,4,4,11,54,No,0,0,0,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Rutterkin,5,Medium,37,12,20,0,0,0,0,0,14,15,17,5,12,6,None,0,11,0,120,0,0,1,1,4,20,No,0,0,0,None,0,0,0,None,Poison,1,"Cold, Fire, Lightning",3,"Charmed, Frightened, Poisoned"
Abyssal Wretch,2,Medium,18,11,20,0,0,0,0,0,9,12,11,5,8,5,None,0,9,0,120,0,0,0,1,3,9,No,0,0,0,None,0,0,0,None,Poison,1,"Cold, Fire, Lightning",3,"Charmed, Frightened, Poisoned"
Sibriex,21,Huge,150,19,0,20,0,0,0,3,10,3,23,25,24,25,"Int, Cha",6,23,120,0,0,0,4,5,6,31,Yes,5,9,21,All,120,3,3,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Wastrilith,16,Large,157,18,30,0,0,80,0,0,19,18,21,19,12,14,"Str, Con",5,11,0,120,0,0,4,4,9,52,No,0,0,0,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Baphomet,26,Huge,275,22,40,0,0,0,0,2,30,14,26,18,24,16,"Dex, Con, Wis",7,24,120,0,0,0,7,5,17,30,Yes,7,7,18,All,120,3,3,None,Poison,1,"Cold, Fire, Lightning",3,"Charmed, Exhaustion, Frightened, Poisoned"
Demogorgon,29,Huge,406,22,50,0,0,50,0,2,29,14,26,20,17,25,"Dex, Con, Wis, Cha",8,29,120,0,0,0,5,3,17,45,Yes,7,9,23,All,120,3,3,None,"Poison, BPS From Nonmagical Attacks",2,"Cold, Fire, Lightning",3,"Charmed, Exhaustion, Frightened, Poisoned"
Fraz-Urb'luu,26,Large,337,18,40,40,0,0,0,3,29,12,25,26,24,26,"Dex, Con, Int, Wis",7,24,120,0,0,0,5,3,16,33,Yes,12,7,23,Akk,120,3,3,None,"Poison, BPS From Nonmagical Attacks",2,"Cold, Fire, Lightning",3,"Charmed, Exhaustion, Frightened, Poisoned"
Graz'zt,27,Large,346,20,40,0,0,0,0,4,22,15,21,23,21,26,"Dex, Con, Wis",7,22,120,0,0,0,5,3,13,48,Yes,7,7,23,All,120,3,3,None,"Poison, BPS From Nonmagical Weapons",2,"Cold, Fire, Lightning",3,"Charmed, Exhaustion, Frightened, Poisoned"
Juiblex,26,Huge,350,18,30,0,0,0,0,1,24,10,23,20,20,16,"Dex, Con, Wis",7,22,120,0,0,0,7,3,14,31,Yes,5,17,18,All,120,3,3,None,"Poison, BPS From Nonmagical Weapons",2,"Cold, Fire, Lightning",3,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone"
Orcus,29,Huge,405,17,40,40,0,0,0,2,27,14,25,20,20,25,"Dex, Con, Wis",8,22,120,0,0,0,5,3,19,56,Yes,5,17,23,All,120,3,3,None,"Necrotic, Poison, BPS From Nonmagical Weapons",3,"Cold, Fire, Lightning",3,"Charmed, Exhaustion, Frightened, Poisoned"
Yeenoghu,27,Huge,333,20,50,0,0,0,0,2,29,16,23,15,24,15,"Dex, Con, Wis",7,24,120,0,0,0,5,3,16,21,Yes,5,7,17,All,120,3,3,None,"Poison, BPS From Nonmagical Weapons",2,"Cold, Fire, Lightning",3,"Charmed, Exhaustion, Frightened, Poisoned"
Zuggtmoy,26,Large,304,18,30,0,0,0,0,1,22,15,18,20,19,24,"Dex, Con, Wis",7,21,120,0,0,0,4,4,13,38,Yes,9,7,22,All,120,3,3,None,"Poison, BPS From Nonmagical Weapons",2,"Cold, Fire, Lightning",3,"Charmed, Exhaustion, Frightened, Poisoned"
Derro,2,Small,13,13,30,0,0,0,0,1,10,14,12,11,5,9,None,0,7,0,120,0,0,2,2,2,6,No,0,0,0,"Dwarvish, Undercommon",0,0,0,None,,0,,0,None
Derro Savant,6,Small,36,13,30,0,0,0,0,1,9,14,12,11,5,14,None,0,7,0,120,0,0,3,1,1,5,Yes,11,3,12,"Dwarvish, Undercommon",0,0,0,None,,0,,0,None
Black Abishai,10,Medium,59,15,30,40,0,0,0,2,14,17,14,13,16,11,"Dex, Wis",3,16,0,120,0,0,4,4,6,29,No,0,0,0,"Draconic, Infernal",120,0,0,None,"Acid, Fire, Poison",3,"Cold, BPS From Nonmagical Attacks Not Silvered",2,Poisoned
Blue Abishai,20,Medium,195,19,30,50,0,0,0,1,15,14,17,22,23,18,"Int, Wis",6,16,0,120,0,0,4,3,8,46,Yes,24,7,20,"Draconic, Infernal",120,0,0,None,"Fire, Lightning, Poison",3,"Cold, BPS From Nonmagical Attacks Not Silvered",2,Poisoned
Green Abishai,18,Medium,187,18,30,40,0,0,0,4,12,17,16,17,12,19,"Int, Cha",5,16,0,120,0,0,4,3,6,19,Yes,8,6,17,"Draconic, Infernal",120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,Poisoned
Red Abishai,22,Medium,255,22,30,50,0,0,0,2,23,16,19,14,15,19,"Str, Con, Wis",6,18,0,120,0,0,3,7,12,126,No,0,0,0,"Draconic, Infernal",120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,Poisoned
White Abishai,9,Medium,68,15,30,40,0,0,0,0,16,11,18,11,12,13,"Str, Con",3,11,0,120,0,0,4,4,6,13,No,0,0,0,"Draconic, Infernal",120,0,0,None,"Cold, Fire, Poison",3,BPS From Nonmagical Attacks Not Silvered,1,Poisoned
Amnizu,21,Medium,202,21,30,40,0,0,0,1,11,13,16,20,12,18,"Dex, Con, Wis, Cha",6,17,0,120,0,0,3,5,11,73,Yes,6,9,19,"Common, Infernal",120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,"Charmed, Poisoned"
Hellfire Engine,19,Huge,216,18,40,0,0,0,0,0,20,16,24,2,10,1,"Dex, Wis, Cha",5,10,0,120,0,0,2,5,11,69,No,0,0,0,None,0,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,"Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Poisoned, Unconscious"
Merregon,7,Medium,45,16,30,0,0,0,0,0,18,14,17,6,12,8,None,0,11,0,60,0,0,2,3,6,14,No,0,0,0,None,120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,"Frightened, Poisoned"
Narzugon,16,Medium,112,20,30,0,0,0,0,0,20,10,17,16,14,19,"Dex, Con, Cha",5,17,0,120,0,0,3,5,10,47,No,0,0,0,"Common, Infernal",120,0,0,None,"Fire, Poison",2,"Acid, Cold, BPS From Nonmagical Attacks Not Silvered",3,"Charmed, Frightened, Poisoned"
Nupperibo,3,Medium,11,13,20,0,0,0,0,1,16,11,13,3,8,1,None,0,11,0,0,10,0,2,1,5,9,No,0,0,0,None,0,0,0,None,"Fire, Poison",2,"Acid, Cold, BPS From Nonmagical Attacks Not Silvered",3,"Blinded, Charmed, Frightened, Poisoned"
Orthon,13,Large,105,17,30,0,0,0,30,3,22,16,21,15,15,16,"Dex, Con, Wis",4,20,30,120,0,0,2,2,10,14,No,0,0,0,"Common, Infernal",120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,"Charmed, Exhaustion, Poisoned"
Bael,22,Large,189,19,30,0,0,0,0,3,24,17,20,21,24,24,"Dex, Con, Int, Cha",6,23,120,0,0,0,6,4,13,47,Yes,13,8,21,All,120,3,3,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,"Charmed, Exhaustion, Frightened, Poisoned"
Geryon,25,Huge,300,19,30,50,0,0,0,3,29,17,22,19,16,23,"Dex, Con, Wis, Cha",7,20,120,0,0,0,5,4,16,33,Yes,10,7,21,All,120,3,3,None,"Cold, Fire, Poison",3,BPS From Nonmagical Attacks Not Silvered,1,"Charmed, Exhaustion, Frightened, Poisoned"
Hutijin,24,Large,200,19,30,60,0,0,0,2,27,15,25,23,19,25,"Dex, Con, Wis",7,21,120,0,0,0,6,6,15,28,Yes,11,7,22,All,120,3,3,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,"Charmed, Exhaustion, Frightened, Poisoned"
Moloch,24,Large,253,19,30,0,0,0,0,3,26,19,22,21,18,23,"Dex, Con, Wis, Cha",7,21,0,120,0,0,5,6,15,40,Yes,13,7,21,All,120,3,3,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,"Charmed, Exhaustion, Frightened, Poisoned"
Titivilus,19,Medium,127,20,40,60,0,0,0,4,19,22,17,24,22,26,"Dex, Con, Wis, Cha",5,16,0,120,0,0,6,5,9,44,Yes,13,9,21,All,120,3,3,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks Not Silvered",2,"Charmed, Exhaustion, Frightened, Poisoned"
Zariel,29,Large,580,21,50,150,0,0,0,2,27,24,28,26,27,30,"Int, Wis, Cha",8,26,0,120,0,0,6,5,16,92,Yes,8,8,26,All,120,3,3,None,"Necrotic, Poison",2,"Cold, Fire, Radiant, BPS From Nonmagical Attacks Not Silvered",4,"Charmed, Exhaustion, Frightened, Poisoned"
Drow Arachnomancer,16,Medium,162,15,30,0,0,0,30,4,11,17,14,19,14,16,"Con, Int, Cha",5,17,0,120,10,0,7,4,8,96,Yes,4,2,16,"Elvish, Undercommon",0,0,0,None,,0,Poison,1,None
Drow Favored Consort,21,Medium,225,15,30,0,0,0,0,4,15,20,16,18,15,18,"Dex, Con, Cha",6,18,0,120,0,0,5,3,11,43,Yes,4,2,18,"Elvish, Undercommon",0,0,0,None,,0,,0,None
Drow House Captain,12,Medium,162,16,30,0,0,0,0,2,14,19,15,12,14,13,"Dex, Con, Wis",4,16,0,120,0,0,4,4,8,34,Yes,4,2,13,"Elvish, Undercommon",0,0,0,None,,0,,0,None
Drow Inquisitor,17,Medium,143,16,30,0,0,0,0,4,11,15,14,16,21,20,"Con, Wis, Cha",5,20,0,120,0,0,6,2,10,51,Yes,22,6,18,"Elvish, Undercommon",0,0,0,None,,0,,0,Frightened
Drow Matron Mother,23,Medium,262,17,30,0,0,0,0,4,12,18,16,17,21,22,"Con, Wis, Cha",6,21,0,120,0,0,6,4,10,36,Yes,30,9,19,"Elvish, Undercommon",0,3,0,None,,0,,0,"Charmed, Frightened, Poisoned"
Drow Shadowblade,14,Medium,150,17,30,0,0,0,0,2,14,21,16,12,14,13,"Dex, Con, Wis",4,16,0,120,0,0,4,3,9,47,Yes,4,2,13,"Elvish, Undercommon",0,0,0,None,,0,,0,None
Duergar Despot,15,Medium,119,21,25,0,0,0,0,0,20,5,19,15,15,13,"Con, Wis",4,12,0,120,0,0,4,4,9,29,Yes,5,3,12,"Dwarvish, Undercommon",0,0,0,None,Poison,1,,0,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned"
Duergar Hammerer,5,Medium,33,17,20,0,0,0,0,0,17,7,12,5,5,5,None,0,7,0,60,0,0,2,3,5,15,No,0,0,0,None,0,0,0,None,Poison,1,,0,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned"
Duergar Kavalrachhni,5,Medium,26,16,25,0,0,0,0,0,14,11,14,11,10,9,None,0,10,0,120,0,0,3,4,4,18,No,0,0,0,"Dwarvish, Undercommon",0,0,0,None,Poison,1,,0,None
Duergar Mind Master,5,Medium,39,14,25,0,0,0,0,2,11,17,14,15,10,12,Wis,2,12,30,120,0,0,2,5,5,25,No,0,0,0,"Dwarvish, Undercommon",0,0,0,None,Poison,1,,0,None
Duergar Screamer,6,Medium,38,15,20,0,0,0,0,0,18,7,12,5,5,5,None,0,7,0,60,0,0,1,3,6,16,No,0,0,0,None,0,0,0,None,Poison,1,,0,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned"
Duergar Soulblade,4,Medium,18,14,25,0,0,0,0,0,11,16,10,11,10,12,None,0,10,0,120,0,0,4,3,5,15,Yes,4,1,12,"Dwarvish, Undercommon",0,0,0,None,,0,,0,None
Duergar Stone Guard,5,Medium,39,18,25,0,0,0,0,0,18,11,14,11,10,9,None,0,10,0,120,0,0,3,4,7,16,No,0,0,0,"Dwarvish, Undercommon",0,0,0,None,Poison,1,,0,None
Duergar Warlord,9,Medium,75,20,25,0,0,0,0,0,18,11,17,12,12,14,None,0,11,0,120,0,0,2,5,7,34,No,0,0,0,"Dwarvish, Undercommon",0,0,0,None,Poison,1,,0,None
Duergar Xarrorn,5,Medium,26,18,25,0,0,0,0,0,16,11,14,11,10,9,None,0,10,0,120,0,0,2,4,5,33,No,0,0,0,"Dwarvish, Undercommon",0,0,0,None,Poison,1,,0,None
Eidolon,15,Medium,63,9,0,40,0,0,0,1,7,8,9,14,19,16,Wis,4,18,0,60,0,0,3,1,0,0,No,0,0,0,None,0,0,0,None,"Cold, Necrotic, Poison",3,"Acid, Fire, Lightning, Thunder, BPS From Nonmagical Attacks",5,"Charmed, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained"
Autumn Eladrin,13,Medium,127,19,30,0,0,0,0,2,12,16,16,14,17,18,None,0,13,0,60,0,0,4,2,5,43,Yes,7,5,16,"Common, Elvish, Sylvan",0,0,0,None,,0,BPS From Nonmagical Attacks,1,None
Sprint Eladrin,13,Medium,127,19,30,0,0,0,0,2,14,16,16,18,11,18,None,0,10,0,60,0,0,4,3,6,20,Yes,7,4,16,"Common, Elvish, Sylvan",0,0,0,None,,0,BPS From Nonmagical Attacks,1,None
Summer Eladrin,13,Medium,127,19,50,0,0,0,0,2,19,21,16,14,12,18,None,0,9,0,60,0,0,3,3,8,32,No,0,0,0,"Common, Elvish, Sylvan",0,0,0,None,,0,BPS From Nonmagical Attacks,1,None
Winter Eladrin,13,Medium,127,19,30,0,0,0,0,0,11,10,16,18,17,13,None,0,13,0,60,0,0,4,2,4,10,Yes,4,5,16,"Common, Elvish, Sylvan",0,0,0,None,,0,"Cold, BPS From Nonmagical Attacks",2,None
Leviathan,23,Gargantuan,328,17,40,0,0,120,0,0,30,24,30,2,18,17,"Wis, Cha",6,14,0,60,0,0,4,4,16,30,No,0,0,0,None,0,3,3,None,"Acid, Poison",2,BPS From Nonmagical Attacks,1,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned"
Phoenix,19,Gargantuan,175,18,20,120,0,0,0,0,19,26,25,2,21,18,"Wis, Cha",5,15,0,60,0,0,6,3,13,24,No,0,0,0,None,0,3,3,None,"Fire, Poison",2,BPS From Nonmagical Attacks,1,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned"
Elder Tempest,26,Gargantuan,264,19,0,120,0,0,0,0,23,28,23,2,21,18,"Wis, Cha",7,15,0,60,0,0,5,3,16,33,No,0,0,0,None,0,3,3,None,"Lightning, Poison, Thunder",3,BPS From Nonmagical Attacks,1,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned"
Zaratan,25,Gargantuan,307,21,40,0,0,40,0,0,30,10,30,2,21,18,"Wis, Cha",7,15,0,60,0,60,4,5,17,40,No,0,0,0,None,0,3,3,Thunder,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,"Exhaustion, Paralyzed, Petrified, Poisoned, Stunned"
Air Elemental Myrmidon,10,Medium,117,18,30,30,0,0,0,0,18,14,14,9,10,10,None,0,10,0,60,0,0,1,3,7,12,No,0,0,0,Auran,0,0,0,None,Poison,1,"Lightning, Thunder, BPS From Nonmagical Attacks",3,"Paralyzed, Petrified, Poisoned, Prone"
Earth Elemental Myrmidon,10,Medium,127,18,30,0,0,0,0,0,18,10,17,8,10,10,None,0,10,0,60,0,0,1,3,7,16,No,0,0,0,Terran,0,0,0,None,Poison,1,BPS From Nonmagical Attacks,1,"Paralyzed, Petrified, Poisoned, Prone"
Fire Elemental Myrmidon,10,Medium,123,18,40,0,0,0,0,0,13,18,15,9,10,10,None,0,10,0,60,0,0,3,3,7,12,No,0,0,0,Ignan,0,0,0,None,"Fire, Poison",2,BPS From Nonmagical Attacks,1,"Paralyzed, Petrified, Poisoned, Prone"
Water Elemental Myrmidon,10,Medium,127,18,40,0,0,40,0,0,18,14,15,8,10,10,None,0,10,0,60,0,0,1,3,7,12,No,0,0,0,Aquan,0,0,0,None,Poison,1,"Acid, BPS From Nonmagical Attacks",2,"Paralyzed, Petrified, Poisoned, Prone"
Giff,6,Medium,60,16,30,0,0,0,0,0,18,14,17,11,12,12,None,0,11,0,0,0,0,2,5,6,14,No,0,0,0,Common,0,0,0,None,,0,,0,None
Githyanki Gish,13,Medium,123,17,30,0,0,0,0,3,17,15,14,16,15,16,"Con, Int, Wis",4,16,0,0,0,0,3,2,7,45,Yes,15,4,15,Gith,0,0,0,None,,0,,0,None
Githyanki Kith'rak,15,Medium,180,18,30,0,0,0,0,2,18,16,17,16,15,17,"Con, Int, Wis",4,16,0,0,0,0,2,2,7,46,Yes,6,7,15,Gith,0,0,0,None,,0,,0,None
Githyanki Supreme Comander,17,Medium,187,18,30,0,0,0,0,3,19,17,18,16,16,18,"Con, Int, Wis",5,18,0,0,0,0,1,2,12,49,Yes,9,7,16,Gith,0,3,0,None,,0,,0,None
Githzerai Anarch,19,Medium,144,20,30,40,0,0,0,3,16,21,18,18,20,14,"Str, Dex, Int, Wis",5,20,0,0,0,0,2,2,10,53,Yes,10,8,18,Gith,0,3,0,None,,0,,0,None
Githzerai Enlightened,13,Medium,112,18,30,0,0,0,0,3,14,19,16,17,19,13,"Str, Dex, Int, Wis",4,18,0,0,0,0,2,3,8,44,Yes,10,7,16,Gith,0,0,0,None,,0,,0,None
Gray Render,15,Large,189,19,30,0,0,0,0,1,19,13,20,3,6,8,"Str, Con",4,12,0,60,0,0,0,3,8,28,No,0,0,0,None,0,0,0,None,,0,,0,None
Howler,11,Large,90,16,40,0,0,0,0,1,17,16,15,5,20,6,None,0,15,0,60,0,0,1,3,6,55,No,0,0,0,None,0,0,0,None,,0,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Frightened
